id,user_id,organization_id,space_id,title,time_from,time_to,time_post,time_update,state
395,1,1,1, / 2025년 하반기 학생 특수건강진단(안전팀),1120174560,1120183020,1119967216,1119967216,1
396,1,1,1, / 2025년 하반기 학생 특수건강진단(안전팀),1120193280,1120194540,1119967216,1119967216,1
397,1,1,4,피아노 연습 / 김준영,1119969720,1119969840,1119967216,1119967216,1
398,1,1,4,피아노 연습 / 김준영,1119971280,1119971400,1119967216,1119967216,1
399,1,1,4,피아노 연습 / 김준영,1119972600,1119972720,1119967216,1119967216,1
400,1,1,5,연습 / 박하연,1120041720,1120041840,1119967216,1119967216,1
401,1,1,5,연습 / 박하연,1120043040,1120043220,1119967216,1119967216,1
402,1,1,5,연습 / 박하연,1120051800,1120051920,1119967216,1119967216,1
403,1,1,5,연습 / 박하연,1120053120,1120053300,1119967216,1119967216,1
404,1,1,6,선본 회의 / 오준서,1119968640,1119968760,1119967216,1119967216,1
405,1,1,6,카포전 무대 업체 미팅 / 장정우,1119969420,1119969600,1119967216,1119967216,1
406,1,1,6, / TEDxKAIST (정기예약),1119969900,1119970020,1119967216,1119967216,1
407,1,1,6, / 판놀음 (정기예약),1119970020,1119970260,1119967216,1119967216,1
408,1,1,6, / 너티 (정기예약),1119971400,1119971460,1119967216,1119967216,1
409,1,1,6,카포전 미팅 / 오상준,1119972270,1119972390,1119967216,1119967216,1
410,1,1,6,카포전 미팅 / 오상준,1119972390,1119972540,1119967216,1119967216,1
411,1,1,6,곰스터디 / 한예원,1119972540,1119973140,1119967216,1119967216,1
412,1,1,7, / 인성 리더십3 - 축제 제작소 (정기예약),1119968640,1119968760,1119967216,1119967216,1
413,1,1,7, / 위로자전거 (정기예약),1119969900,1119969960,1119967216,1119967216,1
414,1,1,7, / Pokéstop (정기예약),1119969960,1119970140,1119967216,1119967216,1
415,1,1,7,곰스터디 / 한예원,1119971100,1119971400,1119967216,1119967216,1
416,1,1,7, / 너티 (정기예약),1119971400,1119971460,1119967216,1119967216,1
417,1,1,7,KASTLE OPEN / Thanapat Techataweekul,1119973500,1119973920,1119967216,1119967216,1
418,1,1,7,KASTLE OPEN / Thanapat Techataweekul,1119976380,1119976740,1119967216,1119967216,1
419,1,1,7,세미나 / 박시현,1119984060,1119984360,1119967216,1119967216,1
420,1,1,7,세미나 / 박시현 ,1119994140,1119994440,1119967216,1119967216,1
421,1,1,8,인성/리더십III Dynamic Leadership  / Guldana Abduali ,1119969780,1119969900,1119967216,1119967216,1
422,1,1,8, / 카이스트 협동조합,1119971250,1119971400,1119967216,1119967216,1
423,1,1,8,학생행사연습 / 이나래,1119976740,1119976860,1119967216,1119967216,1
424,1,1,8,학생행사연습 / 이나래,1119976860,1119976980,1119967216,1119967216,1
425,1,1,8, / 카이스트 협동조합,1119978450,1119978600,1119967216,1119967216,1
426,1,1,8,인성/리더십III Dynamic Leadership  / Guldana Abduali ,1119981300,1119981420,1119967216,1119967216,1
427,1,1,8, / 카이스트 협동조합,1119982770,1119982920,1119967216,1119967216,1
428,1,1,8, / 카이스트 협동조합,1119988530,1119988680,1119967216,1119967216,1
429,1,1,8,안무연습 / 신혜민,1119989880,1119990060,1119967216,1119967216,1
430,1,1,8, / 카이스트 협동조합,1119991410,1119991560,1119967216,1119967216,1
431,1,1,8, / 카이스트 협동조합,1119992850,1119993000,1119967216,1119967216,1
432,1,1,8,학생행사연습 / 이나래,1119994320,1119994440,1119967216,1119967216,1
433,1,1,8, / 카이스트 협동조합,1119998610,1119998760,1119967216,1119967216,1
434,1,1,8,안무연습 / 신혜민,1119999960,1120000140,1119967216,1119967216,1
435,1,1,8, / 카이스트 협동조합,1120001490,1120001640,1119967216,1119967216,1
436,1,1,8, / 카이스트 협동조합,1120002930,1120003080,1119967216,1119967216,1
437,1,1,8,안무연습 / 신혜민,1120007100,1120007280,1119967216,1119967216,1
438,1,1,8, / 카이스트 협동조합,1120008690,1120008840,1119967216,1119967216,1
439,1,1,8,안무연습 / 신혜민,1120010040,1120010220,1119967216,1119967216,1
440,1,1,8, / 카이스트 협동조합,1120011570,1120011720,1119967216,1119967216,1
441,1,1,8, / 카이스트 협동조합,1120013010,1120013160,1119967216,1119967216,1
442,1,1,8, / 카이스트 협동조합,1120018770,1120018920,1119967216,1119967216,1
443,1,1,8, / 카이스트 협동조합,1120024530,1120024680,1119967216,1119967216,1
444,1,1,8, / 카이스트 협동조합,1120025970,1120026120,1119967216,1119967216,1
445,1,1,8, / 카이스트 협동조합,1120031730,1120031880,1119967216,1119967216,1
446,1,1,8, / 카이스트 협동조합,1120034610,1120034760,1119967216,1119967216,1
447,1,1,8, / 카이스트 협동조합,1120036050,1120036200,1119967216,1119967216,1
448,1,1,8, / 카이스트 협동조합,1120041810,1120041960,1119967216,1119967216,1
449,1,1,8, / 카이스트 협동조합,1120044690,1120044840,1119967216,1119967216,1
450,1,1,8, / 카이스트 협동조합,1120046130,1120046280,1119967216,1119967216,1
451,1,1,8, / 카이스트 협동조합,1120051890,1120052040,1119967216,1119967216,1
452,1,1,8, / 카이스트 협동조합,1120054770,1120054920,1119967216,1119967216,1
453,1,1,8, / 카이스트 협동조합,1120056210,1120056360,1119967216,1119967216,1
454,1,1,8, / 카이스트 협동조합,1120061970,1120062120,1119967216,1119967216,1
455,1,1,8, / 카이스트 협동조합,1120064850,1120065000,1119967216,1119967216,1
456,1,1,8, / 카이스트 협동조합,1120066290,1120066440,1119967216,1119967216,1
457,1,1,8, / 카이스트 협동조합,1120073490,1120073640,1119967216,1119967216,1
458,1,1,8, / 카이스트 협동조합,1120076370,1120076520,1119967216,1119967216,1
459,1,1,8, / 카이스트 협동조합,1120077810,1120077960,1119967216,1119967216,1
460,1,1,8, / 카이스트 협동조합,1120083570,1120083720,1119967216,1119967216,1
461,1,1,8, / 카이스트 협동조합,1120086450,1120086600,1119967216,1119967216,1
